epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.033,0.27098,0.94824,1,0.14049,0.003332,0.003332,0.003332
2,162.312,0.19316,0.93538,1,0.17267,0.00657736,0.00657736,0.00657736
3,238.872,0.2672,0.92241,1,0.20917,0.00973471,0.00973471,0.00973471
4,315.505,0.38539,0.88362,1,0.3068,0.009604,0.009604,0.009604
5,392.664,0.3049,0.91173,1,0.26695,0.009472,0.009472,0.009472
6,469.707,0.24641,0.94775,1,0.14348,0.00934,0.00934,0.00934
7,546.848,0.21825,0.94894,1,0.14716,0.009208,0.009208,0.009208
8,624.126,0.19803,0.95606,1,0.11317,0.009076,0.009076,0.009076
9,701.593,0.19129,0.96051,1,0.10768,0.008944,0.008944,0.008944
10,778.724,0.18278,0.9619,1,0.10512,0.008812,0.008812,0.008812
11,855.991,0.17148,0.96536,1,0.09836,0.00868,0.00868,0.00868
12,933.694,0.16547,0.96843,1,0.0893,0.008548,0.008548,0.008548
13,1011.37,0.16038,0.96843,1,0.08769,0.008416,0.008416,0.008416
14,1089.17,0.16175,0.96932,1,0.08713,0.008284,0.008284,0.008284
15,1166.8,0.1513,0.96982,1,0.08402,0.008152,0.008152,0.008152
16,1244.44,0.14865,0.97091,1,0.0827,0.00802,0.00802,0.00802
17,1322.24,0.14356,0.97288,1,0.07948,0.007888,0.007888,0.007888
18,1400.35,0.14172,0.97338,1,0.07817,0.007756,0.007756,0.007756
19,1478.05,0.1407,0.97368,1,0.07575,0.007624,0.007624,0.007624
20,1555.81,0.13767,0.97496,1,0.07318,0.007492,0.007492,0.007492
21,1634.09,0.13442,0.97516,1,0.07306,0.00736,0.00736,0.00736
22,1712.49,0.13095,0.97486,1,0.07332,0.007228,0.007228,0.007228
23,1791.36,0.12812,0.97417,1,0.07219,0.007096,0.007096,0.007096
24,1869.86,0.12809,0.97447,1,0.07162,0.006964,0.006964,0.006964
25,1948.04,0.12732,0.97506,1,0.07105,0.006832,0.006832,0.006832
26,2024.9,0.12378,0.97516,1,0.07017,0.0067,0.0067,0.0067
27,2102.01,0.12256,0.97575,1,0.06965,0.006568,0.006568,0.006568
28,2178.39,0.11933,0.97585,1,0.0692,0.006436,0.006436,0.006436
29,2255.08,0.11806,0.97595,1,0.06896,0.006304,0.006304,0.006304
30,2332.05,0.11606,0.97595,1,0.0681,0.006172,0.006172,0.006172
31,2408.76,0.11131,0.97625,1,0.06748,0.00604,0.00604,0.00604
32,2485.35,0.11205,0.97655,1,0.06752,0.005908,0.005908,0.005908
33,2562.05,0.11001,0.97635,1,0.06705,0.005776,0.005776,0.005776
34,2638.65,0.10816,0.97615,1,0.06655,0.005644,0.005644,0.005644
