epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.812,0.28698,0.93073,1,0.17571,0.003332,0.003332,0.003332
2,107.986,0.2384,0.92786,1,0.19918,0.00657736,0.00657736,0.00657736
3,159.675,0.30627,0.90104,1,0.28716,0.00973471,0.00973471,0.00973471
4,210.555,0.44164,0.87016,1,0.32985,0.009604,0.009604,0.009604
5,260.099,0.38363,0.8853,1,0.28541,0.009472,0.009472,0.009472
6,310.82,0.32352,0.90411,1,0.24305,0.00934,0.00934,0.00934
7,360.748,0.30052,0.91024,1,0.23108,0.009208,0.009208,0.009208
8,411.014,0.28415,0.92726,1,0.19766,0.009076,0.009076,0.009076
9,462.296,0.27178,0.93182,1,0.19355,0.008944,0.008944,0.008944
10,512.779,0.26415,0.9331,1,0.17246,0.008812,0.008812,0.008812
11,562.48,0.24581,0.93864,1,0.16775,0.00868,0.00868,0.00868
12,613.071,0.24191,0.94033,1,0.1603,0.008548,0.008548,0.008548
13,665.168,0.23116,0.94399,1,0.14484,0.008416,0.008416,0.008416
14,716.556,0.22482,0.95032,1,0.13278,0.008284,0.008284,0.008284
15,769.048,0.21748,0.95349,1,0.12745,0.008152,0.008152,0.008152
16,819.4,0.21193,0.95567,1,0.12271,0.00802,0.00802,0.00802
17,870.223,0.20479,0.95824,1,0.11862,0.007888,0.007888,0.007888
18,919.66,0.2005,0.95893,1,0.11692,0.007756,0.007756,0.007756
19,969.245,0.19526,0.95952,1,0.11399,0.007624,0.007624,0.007624
20,1018.84,0.19306,0.95913,1,0.11199,0.007492,0.007492,0.007492
21,1068.96,0.18792,0.96032,1,0.10925,0.00736,0.00736,0.00736
22,1118.42,0.18514,0.9615,1,0.1084,0.007228,0.007228,0.007228
23,1169.16,0.18021,0.9621,1,0.10611,0.007096,0.007096,0.007096
24,1218.39,0.17953,0.96309,1,0.10469,0.006964,0.006964,0.006964
25,1268.51,0.17853,0.96358,1,0.10348,0.006832,0.006832,0.006832
26,1318.09,0.17472,0.96428,1,0.10228,0.0067,0.0067,0.0067
27,1369.02,0.17336,0.96428,1,0.10132,0.006568,0.006568,0.006568
28,1419,0.16845,0.96428,1,0.10031,0.006436,0.006436,0.006436
29,1469.41,0.16707,0.96388,1,0.09948,0.006304,0.006304,0.006304
30,1519.71,0.16346,0.96398,1,0.09833,0.006172,0.006172,0.006172
31,1570.81,0.16403,0.96497,1,0.09734,0.00604,0.00604,0.00604
32,1620.77,0.16153,0.96526,1,0.09662,0.005908,0.005908,0.005908
33,1670.26,0.15788,0.96566,1,0.09586,0.005776,0.005776,0.005776
34,1719.6,0.15897,0.96596,1,0.09493,0.005644,0.005644,0.005644
35,1769.73,0.15761,0.96586,1,0.09394,0.005512,0.005512,0.005512
36,1819.24,0.15326,0.96556,1,0.09343,0.00538,0.00538,0.00538
37,1868.41,0.15116,0.96576,1,0.0928,0.005248,0.005248,0.005248
38,1918.37,0.1496,0.96625,1,0.09194,0.005116,0.005116,0.005116
39,1968.96,0.14828,0.96645,1,0.09107,0.004984,0.004984,0.004984
40,2019.3,0.14792,0.96655,1,0.09046,0.004852,0.004852,0.004852
41,2069.61,0.14435,0.96665,1,0.08971,0.00472,0.00472,0.00472
42,2119.76,0.14182,0.96685,1,0.08867,0.004588,0.004588,0.004588
43,2169.57,0.14182,0.96705,1,0.08795,0.004456,0.004456,0.004456
44,2219.63,0.14045,0.96724,1,0.08724,0.004324,0.004324,0.004324
45,2269.47,0.13811,0.96724,1,0.08664,0.004192,0.004192,0.004192
46,2319.58,0.13577,0.96774,1,0.08568,0.00406,0.00406,0.00406
47,2369.49,0.13595,0.96804,1,0.08496,0.003928,0.003928,0.003928
48,2419.87,0.13579,0.96823,1,0.08405,0.003796,0.003796,0.003796
49,2469.35,0.12854,0.96863,1,0.08346,0.003664,0.003664,0.003664
50,2519.16,0.13106,0.96912,1,0.08282,0.003532,0.003532,0.003532
51,2569.21,0.1339,0.96942,1,0.08248,0.0034,0.0034,0.0034
52,2619.17,0.12925,0.96942,1,0.08154,0.003268,0.003268,0.003268
53,2668.42,0.12554,0.96982,1,0.0809,0.003136,0.003136,0.003136
54,2718.27,0.12198,0.97011,1,0.08026,0.003004,0.003004,0.003004
55,2768.3,0.12337,0.97041,1,0.07968,0.002872,0.002872,0.002872
56,2818.3,0.11885,0.97061,1,0.07907,0.00274,0.00274,0.00274
57,2868.54,0.11756,0.97081,1,0.07861,0.002608,0.002608,0.002608
58,2918.99,0.11745,0.97081,1,0.07797,0.002476,0.002476,0.002476
59,2968.99,0.11313,0.971,1,0.07767,0.002344,0.002344,0.002344
60,3018.86,0.1121,0.9714,1,0.07678,0.002212,0.002212,0.002212
61,3067.23,0.11226,0.9714,1,0.07601,0.00208,0.00208,0.00208
62,3116.44,0.10653,0.9714,1,0.07521,0.001948,0.001948,0.001948
63,3166.22,0.10514,0.9714,1,0.07473,0.001816,0.001816,0.001816
64,3215.9,0.10593,0.9716,1,0.07396,0.001684,0.001684,0.001684
65,3265.38,0.10467,0.9715,1,0.0734,0.001552,0.001552,0.001552
66,3314.08,0.10083,0.9719,1,0.0725,0.00142,0.00142,0.00142
67,3363.61,0.0992,0.97209,1,0.07188,0.001288,0.001288,0.001288
68,3412.59,0.09582,0.97239,1,0.07113,0.001156,0.001156,0.001156
69,3461.13,0.09529,0.97259,1,0.07054,0.001024,0.001024,0.001024
70,3508.84,0.09046,0.97288,1,0.06987,0.000892,0.000892,0.000892
71,3557.09,0.0889,0.97298,1,0.06929,0.00076,0.00076,0.00076
72,3605.38,0.08796,0.97328,1,0.06858,0.000628,0.000628,0.000628
73,3652.92,0.0856,0.97328,1,0.06798,0.000496,0.000496,0.000496
74,3701.45,0.08306,0.97338,1,0.06739,0.000364,0.000364,0.000364
75,3749.05,0.08263,0.97358,1,0.0668,0.000232,0.000232,0.000232
