epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,80.6122,0.27973,0.95285,1,0.13958,0.00333192,0.00333192,0.00333192
2,155.846,0.20478,0.92334,1,0.17852,0.00657727,0.00657727,0.00657727
3,229.143,0.26906,0.90038,1,0.35535,0.00973463,0.00973463,0.00973463
4,301.64,0.4197,0.87545,1,0.36514,0.009604,0.009604,0.009604
5,373.963,0.38205,0.89865,1,0.26403,0.009472,0.009472,0.009472
6,446.374,0.31532,0.9189,1,0.22851,0.00934,0.00934,0.00934
7,518.966,0.28017,0.93458,1,0.1955,0.009208,0.009208,0.009208
8,591.231,0.25626,0.94211,1,0.16886,0.009076,0.009076,0.009076
9,663.437,0.24919,0.94482,1,0.15896,0.008944,0.008944,0.008944
10,735.796,0.23297,0.95433,1,0.14021,0.008812,0.008812,0.008812
11,809.46,0.22075,0.95618,1,0.12689,0.00868,0.00868,0.00868
12,882.512,0.21051,0.95581,1,0.1227,0.008548,0.008548,0.008548
13,956.604,0.20405,0.95889,1,0.11195,0.008416,0.008416,0.008416
14,1026.33,0.20087,0.96025,1,0.10605,0.008284,0.008284,0.008284
15,1095.5,0.19545,0.96149,1,0.10158,0.008152,0.008152,0.008152
16,1164.73,0.18491,0.96408,1,0.09768,0.00802,0.00802,0.00802
17,1234.04,0.18844,0.96433,1,0.09602,0.007888,0.007888,0.007888
18,1303.29,0.17845,0.96556,1,0.0916,0.007756,0.007756,0.007756
19,1372.66,0.17375,0.96741,1,0.09104,0.007624,0.007624,0.007624
20,1442.09,0.17091,0.96778,1,0.09006,0.007492,0.007492,0.007492
21,1511.56,0.17165,0.96791,1,0.08733,0.00736,0.00736,0.00736
22,1581.05,0.16225,0.96889,1,0.08564,0.007228,0.007228,0.007228
23,1650.47,0.16027,0.97,1,0.08402,0.007096,0.007096,0.007096
24,1719.91,0.16175,0.96865,1,0.08298,0.006964,0.006964,0.006964
25,1789.32,0.15868,0.96865,1,0.08246,0.006832,0.006832,0.006832
26,1858.59,0.15485,0.96988,1,0.08263,0.0067,0.0067,0.0067
27,1928.18,0.15235,0.97,1,0.08217,0.006568,0.006568,0.006568
28,1997.57,0.14956,0.97037,1,0.08209,0.006436,0.006436,0.006436
29,2067.26,0.14758,0.97074,1,0.08142,0.006304,0.006304,0.006304
30,2137.8,0.14438,0.97087,1,0.08111,0.006172,0.006172,0.006172
31,2207.83,0.14089,0.97136,1,0.08057,0.00604,0.00604,0.00604
32,2277.81,0.14041,0.97124,1,0.07956,0.005908,0.005908,0.005908
33,2347.34,0.13684,0.97161,1,0.07883,0.005776,0.005776,0.005776
