epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.7415,0.294,0.93713,1,0.16459,0.00333182,0.00333182,0.00333182
2,77.7294,0.25071,0.91551,1,0.24582,0.00657717,0.00657717,0.00657717
3,117.007,0.33088,0.87664,1,0.33119,0.00973452,0.00973452,0.00973452
4,154.491,0.42588,0.87797,1,0.32401,0.009604,0.009604,0.009604
5,190.476,0.35178,0.89972,1,0.27242,0.009472,0.009472,0.009472
6,226.797,0.31635,0.91139,1,0.22214,0.00934,0.00934,0.00934
7,262.227,0.28732,0.92519,1,0.20004,0.009208,0.009208,0.009208
8,297.438,0.26772,0.93394,1,0.17757,0.009076,0.009076,0.009076
9,333.64,0.24634,0.94442,1,0.14763,0.008944,0.008944,0.008944
10,370.204,0.24032,0.94946,1,0.13795,0.008812,0.008812,0.008812
11,408.192,0.23213,0.95384,1,0.13338,0.00868,0.00868,0.00868
12,445.527,0.22348,0.94853,1,0.13495,0.008548,0.008548,0.008548
13,482.873,0.21428,0.9557,1,0.1196,0.008416,0.008416,0.008416
14,519.318,0.21104,0.96167,1,0.11416,0.008284,0.008284,0.008284
15,557.656,0.20318,0.9622,1,0.11154,0.008152,0.008152,0.008152
16,595.446,0.19908,0.96114,1,0.10821,0.00802,0.00802,0.00802
17,632.819,0.19137,0.96246,1,0.10448,0.007888,0.007888,0.007888
18,669.484,0.19364,0.96246,1,0.10294,0.007756,0.007756,0.007756
19,706.13,0.18535,0.96405,1,0.09867,0.007624,0.007624,0.007624
20,742.848,0.18376,0.96472,1,0.09603,0.007492,0.007492,0.007492
21,779.388,0.18127,0.96591,1,0.09453,0.00736,0.00736,0.00736
22,815.538,0.17535,0.96817,1,0.09163,0.007228,0.007228,0.007228
23,851.405,0.17171,0.96936,1,0.08855,0.007096,0.007096,0.007096
24,888.634,0.17026,0.96936,1,0.08793,0.006964,0.006964,0.006964
25,925.509,0.16744,0.97002,1,0.08722,0.006832,0.006832,0.006832
26,962.255,0.16714,0.97095,1,0.08612,0.0067,0.0067,0.0067
27,998.881,0.16331,0.97029,1,0.08587,0.006568,0.006568,0.006568
28,1034.7,0.16298,0.96976,1,0.08624,0.006436,0.006436,0.006436
29,1070.72,0.15961,0.96989,1,0.08522,0.006304,0.006304,0.006304
30,1106.94,0.15365,0.97082,1,0.08471,0.006172,0.006172,0.006172
31,1143.24,0.15907,0.97201,1,0.08362,0.00604,0.00604,0.00604
32,1179.88,0.15514,0.97122,1,0.08303,0.005908,0.005908,0.005908
33,1216.37,0.15016,0.97135,1,0.08251,0.005776,0.005776,0.005776
34,1252.33,0.14602,0.97135,1,0.08178,0.005644,0.005644,0.005644
35,1288.21,0.15022,0.97161,1,0.08146,0.005512,0.005512,0.005512
36,1324.12,0.14676,0.97108,1,0.08106,0.00538,0.00538,0.00538
37,1360.9,0.14797,0.97135,1,0.08069,0.005248,0.005248,0.005248
38,1398.05,0.1409,0.97161,1,0.08009,0.005116,0.005116,0.005116
39,1435.38,0.14302,0.97161,1,0.07949,0.004984,0.004984,0.004984
40,1472.87,0.13476,0.97161,1,0.07896,0.004852,0.004852,0.004852
41,1509.67,0.13762,0.97201,1,0.07879,0.00472,0.00472,0.00472
